Cluster,Incident_Count,Avg_Latitude,Avg_Longitude,Avg_WeekDayHour,Min_WeekDayHour,Max_WeekDayHour
7,339,30.47934563421829,-91.14792171091446,97.3244837758112,72,128
5,276,30.475330688405794,-91.14996688405797,51.981884057971016,26,81
0,52,30.497160961538462,-91.13547,52.84615384615385,44,69
6,43,30.428372790697676,-91.17822139534884,98.5813953488372,80,115
3,34,30.51289705882353,-91.16810147058824,139.64705882352942,125,151
10,32,30.496515312499998,-91.14220093750001,156.90625,139,167
9,31,30.457065806451613,-91.12407548387097,47.806451612903224,33,65
65,28,30.472068571428572,-91.14509285714287,165.10714285714286,161,167
27,25,30.4648564,-91.16670319999999,105.6,86,117
26,23,30.51334608695652,-91.1718556521739,60.21739130434783,55,64
15,19,30.51972842105263,-91.13811736842105,56.21052631578947,50,59
28,18,30.452054999999998,-91.15384666666667,110.55555555555556,95,121
2,18,30.450648333333334,-91.17521222222223,67.88888888888889,57,72
21,18,30.43295888888889,-91.05719333333333,29.72222222222222,15,37
14,17,30.465594705882353,-91.04540529411764,55.529411764705884,43,67
63,17,30.462054117647057,-91.15398235294117,18.705882352941178,16,21
58,16,30.466090625,-91.15944875,163.375,158,167
24,16,30.498817499999998,-91.1574825,104.3125,97,110
49,16,30.498870625000002,-91.1330625,16.4375,5,24
33,16,30.495311875,-91.130780625,34.625,25,38
31,16,30.459705625,-91.054038125,36.875,25,47
37,15,30.498531333333336,-91.15289466666667,35.86666666666667,31,43
25,15,30.458744666666668,-91.11907333333333,81.8,73,90
20,15,30.466769333333332,-91.15550066666667,125.26666666666667,118,134
23,15,30.505862666666665,-91.14651733333334,82.0,79,85
53,14,30.481330714285715,-91.145745,137.21428571428572,133,143
17,14,30.50610357142857,-91.14750785714286,8.642857142857142,0,18
13,14,30.42569142857143,-91.17885285714286,146.92857142857142,141,153
1,14,30.48244,-91.12537999999999,120.5,120,125
35,13,30.432466923076923,-91.05792769230769,102.92307692307692,98,111
19,13,30.47414230769231,-91.16174230769231,4.6923076923076925,3,10
11,13,30.459310769230772,-91.1577776923077,1.9230769230769231,0,4
61,12,30.42041,-91.13808,135.0,135,135
12,12,30.4815175,-91.10514,25.25,25,26
40,12,30.450934166666666,-91.1562,36.5,32,42
42,11,30.467392727272728,-91.13007363636365,11.363636363636363,10,15
55,11,30.469180909090912,-91.04480545454545,38.0,38,38
50,10,30.480838,-91.159075,159.8,156,162
60,10,30.457383,-91.126982,109.0,106,114
57,10,30.474743999999998,-91.138035,18.9,14,21
68,10,30.474489999999996,-91.17299,44.0,44,44
4,10,30.454746,-91.16157799999999,138.9,133,144
8,10,30.458736,-91.120496,3.8,0,10
18,10,30.437241,-91.04560799999999,142.2,138,146
62,9,30.460601111111114,-91.14344,160.11111111111111,154,166
56,9,30.540620000000004,-91.19177333333333,65.11111111111111,62,66
69,9,30.516925555555556,-91.17129666666666,163.22222222222223,161,164
41,9,30.53550333333333,-91.19787555555556,59.0,53,68
66,9,30.51967,-91.19122,139.0,139,139
47,9,30.432266666666667,-91.05687333333333,84.11111111111111,81,90
32,9,30.479862222222224,-91.15999888888888,128.22222222222223,122,135
64,9,30.392331111111112,-91.18063111111111,38.77777777777778,33,46
44,9,30.45812,-91.07299,154.0,154,154
43,9,30.466281111111112,-91.04361222222222,84.77777777777777,82,93
29,9,30.47081222222222,-91.12218777777778,104.66666666666667,97,110
70,8,30.45297,-91.15614625,164.25,162,166
59,8,30.54188,-91.1978975,41.5,38,42
67,8,30.40008,-91.20209,163.0,163,163
36,8,30.5092025,-91.16916375000001,7.75,1,16
54,8,30.46755375,-91.05408625,107.5,103,111
52,8,30.42081125,-91.192025,87.375,85,88
48,8,30.42753625,-91.18065375,59.5,56,62
46,8,30.51660875,-91.1710975,104.875,103,112
45,8,30.45067125,-91.15314625,129.75,125,131
39,8,30.426706250000002,-91.13813375,56.125,51,59
38,8,30.432526250000002,-91.05465375,56.375,53,60
34,8,30.49323125,-91.15061,126.625,125,135
22,8,30.4626675,-91.143775,85.5,79,91
30,7,30.47877285714286,-91.13466714285714,31.142857142857142,29,32
51,6,30.488271666666666,-91.13142333333333,133.0,133,133
16,6,30.448365,-91.17204166666666,49.833333333333336,45,56
71,6,30.461986666666665,-91.14345166666665,25.0,21,27
